,Car Names,Mileages,Ratings,Reviews,used/certified,price drop,Price,Price_d,used,Reviews_d,price_drop,Mileages_d,group,test,year,Manufacture,model_name
1,2015 Chevrolet Corvette Stingray Z51,"29,192 mi.",3.7,(3 reviews),Used,$277 price drop,"$52,000",52000.0,1.0,3.0,277.0,29192.0,180.0,"['2015', 'Chevrolet', 'Corvette', 'Stingray', 'Z51']",2015,Chevrolet,"['Corvette', 'Stingray', 'Z51']"
2,2020 Jeep Grand Cherokee Overland,"53,561 mi.",4.8,"(1,147 reviews)",Used,"$2,000 price drop","$41,998",41998.0,1.0,1147.0,2000.0,53561.0,1243.0,"['2020', 'Jeep', 'Grand', 'Cherokee', 'Overland']",2020,Jeep,"['Grand', 'Cherokee', 'Overland']"
3,2019 Audi A7 3.0T Prestige,"46,664 mi.",4.9,"(1,831 reviews)",Used,"$2,090 price drop","$62,750",62750.0,1.0,1831.0,2090.0,46664.0,717.0,"['2019', 'Audi', 'A7', '3.0T', 'Prestige']",2019,Audi,"['A7', '3.0T', 'Prestige']"
4,2017 Ford Mustang GT Premium,"21,726 mi.",4.0,(409 reviews),Used,$200 price drop,"$29,995",29995.0,1.0,409.0,200.0,21726.0,390.0,"['2017', 'Ford', 'Mustang', 'GT', 'Premium']",2017,Ford,"['Mustang', 'GT', 'Premium']"
5,2016 Jeep Grand Cherokee Limited,"66,514 mi.",4.6,"(1,348 reviews)",Used,"$2,000 price drop","$26,499",26499.0,1.0,1348.0,2000.0,66514.0,297.0,"['2016', 'Jeep', 'Grand', 'Cherokee', 'Limited']",2016,Jeep,"['Grand', 'Cherokee', 'Limited']"
6,2018 Jeep Grand Cherokee High Altitude,"52,607 mi.",3.3,(329 reviews),Used,"$2,074 price drop","$39,944",39944.0,1.0,329.0,2074.0,52607.0,597.0,"['2018', 'Jeep', 'Grand', 'Cherokee', 'High', 'Altitude']",2018,Jeep,"['Grand', 'Cherokee', 'High', 'Altitude']"
7,2016 Ford Fusion SE,"45,046 mi.",4.3,(73 reviews),Ford Certified,"$2,250 price drop","$14,756",14756.0,0.0,73.0,2250.0,45046.0,276.0,"['2016', 'Ford', 'Fusion', 'SE']",2016,Ford,"['Fusion', 'SE']"
8,2021 Ford F-150 Raptor,"43,502 mi.",3.5,(193 reviews),Used,$890 price drop,"$123,500",123500.0,1.0,193.0,890.0,43502.0,1486.0,"['2021', 'Ford', 'F-150', 'Raptor']",2021,Ford,"['F-150', 'Raptor']"
9,2019 GMC Yukon Denali,"5,386 mi.",4.7,(267 reviews),Used,"$5,000 price drop","$61,974",61974.0,1.0,267.0,5000.0,5386.0,834.0,"['2019', 'GMC', 'Yukon', 'Denali']",2019,GMC,"['Yukon', 'Denali']"
10,2022 Kia Telluride SX,"62,129 mi.",4.8,"(1,305 reviews)",Used,$110 price drop,"$54,500",54500.0,1.0,1305.0,110.0,62129.0,1720.0,"['2022', 'Kia', 'Telluride', 'SX']",2022,Kia,"['Telluride', 'SX']"
11,2018 Jeep Wrangler Unlimited Sport,"10,100 mi.",4.6,(317 reviews),Jeep Certified,"$2,000 price drop","$36,277",36277.0,0.0,317.0,2000.0,10100.0,603.0,"['2018', 'Jeep', 'Wrangler', 'Unlimited', 'Sport']",2018,Jeep,"['Wrangler', 'Unlimited', 'Sport']"
12,2015 Toyota 4Runner Limited,"68,884 mi.",4.4,(580 reviews),Used,"$3,200 price drop","$33,050",33050.0,1.0,580.0,3200.0,68884.0,229.0,"['2015', 'Toyota', '4Runner', 'Limited']",2015,Toyota,"['4Runner', 'Limited']"
